visible_craters,time
1,0
2,1000
3,2000
4,3000
5,4000
6,5000
7,6000
8,7000
9,8000
10,9000
11,10000
12,11000
13,12000
14,13000
14,14000
15,15000
16,16000
17,17000
18,18000
19,19000
20,20000
21,21000
22,22000
23,23000
24,24000
25,25000
26,26000
27,27000
28,28000
29,29000
30,30000
31,31000
32,32000
33,33000
33,34000
34,35000
35,36000
36,37000
37,38000
32,39000
33,40000
34,41000
35,42000
36,43000
37,44000
38,45000
39,46000
40,47000
41,48000
42,49000
43,50000
44,51000
45,52000
46,53000
47,54000
48,55000
49,56000
50,57000
51,58000
50,59000
51,60000
52,61000
53,62000
54,63000
55,64000
56,65000
57,66000
58,67000
59,68000
60,69000
61,70000
62,71000
63,72000
64,73000
65,74000
66,75000
67,76000
68,77000
69,78000
70,79000
71,80000
71,81000
72,82000
73,83000
68,84000
69,85000
70,86000
71,87000
72,88000
73,89000
74,90000
75,91000
76,92000
77,93000
78,94000
79,95000
80,96000
81,97000
82,98000
81,99000
82,100000
82,101000
83,102000
84,103000
85,104000
85,105000
86,106000
87,107000
88,108000
89,109000
90,110000
91,111000
92,112000
93,113000
94,114000
95,115000
96,116000
97,117000
98,118000
99,119000
100,120000
101,121000
102,122000
103,123000
104,124000
102,125000
103,126000
104,127000
105,128000
106,129000
107,130000
108,131000
107,132000
108,133000
109,134000
110,135000
111,136000
112,137000
113,138000
109,139000
110,140000
111,141000
112,142000
113,143000
114,144000
115,145000
116,146000
117,147000
118,148000
119,149000
120,150000
121,151000
122,152000
123,153000
123,154000
124,155000
125,156000
125,157000
126,158000
126,159000
127,160000
127,161000
128,162000
129,163000
130,164000
131,165000
132,166000
133,167000
134,168000
135,169000
136,170000
137,171000
137,172000
138,173000
139,174000
140,175000
141,176000
142,177000
143,178000
144,179000
145,180000
146,181000
147,182000
148,183000
149,184000
150,185000
151,186000
152,187000
153,188000
154,189000
155,190000
156,191000
156,192000
157,193000
156,194000
157,195000
158,196000
159,197000
157,198000
158,199000
159,200000
160,201000
161,202000
162,203000
163,204000
164,205000
165,206000
166,207000
167,208000
168,209000
168,210000
166,211000
167,212000
168,213000
169,214000
170,215000
171,216000
171,217000
172,218000
173,219000
170,220000
171,221000
172,222000
170,223000
171,224000
172,225000
173,226000
174,227000
175,228000
176,229000
176,230000
177,231000
177,232000
178,233000
179,234000
175,235000
176,236000
177,237000
176,238000
177,239000
178,240000
179,241000
180,242000
181,243000
182,244000
183,245000
184,246000
185,247000
183,248000
184,249000
181,250000
182,251000
183,252000
184,253000
185,254000
186,255000
186,256000
187,257000
187,258000
188,259000
189,260000
190,261000
191,262000
192,263000
193,264000
194,265000
193,266000
194,267000
195,268000
196,269000
197,270000
198,271000
192,272000
191,273000
192,274000
193,275000
194,276000
195,277000
196,278000
197,279000
198,280000
199,281000
200,282000
201,283000
202,284000
203,285000
204,286000
204,287000
205,288000
206,289000
207,290000
208,291000
205,292000
205,293000
205,294000
206,295000
207,296000
203,297000
204,298000
205,299000
201,300000
202,301000
203,302000
204,303000
205,304000
206,305000
207,306000
208,307000
209,308000
209,309000
210,310000
211,311000
212,312000
212,313000
213,314000
214,315000
215,316000
216,317000
213,318000
214,319000
215,320000
216,321000
216,322000
217,323000
218,324000
219,325000
220,326000
221,327000
222,328000
223,329000
224,330000
225,331000
226,332000
227,333000
228,334000
229,335000
230,336000
227,337000
228,338000
229,339000
230,340000
231,341000
232,342000
233,343000
233,344000
234,345000
235,346000
236,347000
237,348000
237,349000
238,350000
239,351000
239,352000
240,353000
241,354000
242,355000
241,356000
242,357000
243,358000
244,359000
245,360000
246,361000
247,362000
248,363000
249,364000
250,365000
251,366000
252,367000
253,368000
254,369000
255,370000
256,371000
257,372000
258,373000
258,374000
259,375000
260,376000
261,377000
262,378000
263,379000
264,380000
265,381000
265,382000
266,383000
267,384000
268,385000
268,386000
269,387000
270,388000
271,389000
272,390000
273,391000
274,392000
275,393000
276,394000
276,395000
277,396000
278,397000
279,398000
279,399000
280,400000
281,401000
282,402000
283,403000
273,404000
272,405000
273,406000
274,407000
275,408000
276,409000
277,410000
278,411000
279,412000
280,413000
281,414000
274,415000
274,416000
272,417000
273,418000
274,419000
275,420000
276,421000
277,422000
278,423000
279,424000
280,425000
281,426000
282,427000
283,428000
284,429000
284,430000
285,431000
286,432000
287,433000
288,434000
289,435000
252,436000
253,437000
254,438000
255,439000
256,440000
225,441000
226,442000
227,443000
228,444000
229,445000
230,446000
231,447000
232,448000
233,449000
234,450000
235,451000
236,452000
237,453000
238,454000
239,455000
240,456000
241,457000
242,458000
243,459000
244,460000
245,461000
246,462000
247,463000
248,464000
249,465000
250,466000
251,467000
252,468000
253,469000
254,470000
251,471000
252,472000
253,473000
254,474000
255,475000
256,476000
256,477000
256,478000
257,479000
257,480000
258,481000
257,482000
258,483000
249,484000
250,485000
251,486000
252,487000
253,488000
254,489000
255,490000
256,491000
256,492000
256,493000
257,494000
250,495000
251,496000
243,497000
243,498000
244,499000
243,500000
243,501000
243,502000
244,503000
245,504000
246,505000
247,506000
245,507000
230,508000
231,509000
232,510000
233,511000
217,512000
218,513000
219,514000
216,515000
217,516000
218,517000
203,518000
204,519000
205,520000
206,521000
207,522000
208,523000
207,524000
208,525000
208,526000
209,527000
210,528000
211,529000
212,530000
213,531000
214,532000
215,533000
215,534000
216,535000
217,536000
218,537000
219,538000
220,539000
221,540000
222,541000
223,542000
224,543000
224,544000
225,545000
221,546000
220,547000
221,548000
222,549000
222,550000
222,551000
223,552000
224,553000
225,554000
226,555000
227,556000
221,557000
222,558000
223,559000
224,560000
225,561000
226,562000
227,563000
228,564000
229,565000
230,566000
231,567000
232,568000
233,569000
234,570000
235,571000
236,572000
237,573000
238,574000
238,575000
239,576000
240,577000
241,578000
242,579000
243,580000
244,581000
245,582000
243,583000
244,584000
233,585000
234,586000
235,587000
236,588000
237,589000
238,590000
235,591000
236,592000
237,593000
237,594000
238,595000
239,596000
240,597000
241,598000
242,599000
243,600000
244,601000
244,602000
245,603000
246,604000
247,605000
248,606000
249,607000
250,608000
251,609000
252,610000
253,611000
254,612000
255,613000
256,614000
257,615000
258,616000
255,617000
256,618000
257,619000
257,620000
258,621000
257,622000
258,623000
259,624000
260,625000
261,626000
262,627000
263,628000
264,629000
265,630000
264,631000
265,632000
266,633000
267,634000
268,635000
269,636000
270,637000
269,638000
270,639000
271,640000
272,641000
272,642000
273,643000
274,644000
275,645000
276,646000
277,647000
278,648000
279,649000
280,650000
278,651000
279,652000
280,653000
280,654000
281,655000
282,656000
283,657000
284,658000
285,659000
264,660000
265,661000
266,662000
266,663000
266,664000
267,665000
268,666000
269,667000
269,668000
270,669000
271,670000
272,671000
273,672000
273,673000
274,674000
274,675000
275,676000
276,677000
277,678000
277,679000
278,680000
279,681000
280,682000
281,683000
282,684000
283,685000
283,686000
284,687000
285,688000
286,689000
287,690000
288,691000
289,692000
290,693000
291,694000
292,695000
293,696000
287,697000
288,698000
289,699000
289,700000
290,701000
290,702000
289,703000
289,704000
290,705000
291,706000
292,707000
290,708000
290,709000
288,710000
289,711000
290,712000
291,713000
291,714000
292,715000
293,716000
294,717000
295,718000
296,719000
297,720000
298,721000
299,722000
300,723000
301,724000
302,725000
303,726000
304,727000
303,728000
304,729000
304,730000
305,731000
306,732000
307,733000
303,734000
304,735000
305,736000
306,737000
298,738000
299,739000
300,740000
288,741000
289,742000
290,743000
291,744000
292,745000
293,746000
294,747000
295,748000
296,749000
297,750000
298,751000
298,752000
299,753000
298,754000
299,755000
300,756000
301,757000
302,758000
303,759000
304,760000
304,761000
303,762000
304,763000
284,764000
285,765000
286,766000
287,767000
278,768000
279,769000
280,770000
281,771000
282,772000
282,773000
283,774000
231,775000
232,776000
232,777000
233,778000
234,779000
235,780000
234,781000
235,782000
233,783000
234,784000
231,785000
232,786000
233,787000
231,788000
232,789000
233,790000
234,791000
234,792000
235,793000
236,794000
217,795000
196,796000
194,797000
195,798000
196,799000
197,800000
196,801000
197,802000
198,803000
199,804000
200,805000
201,806000
202,807000
203,808000
204,809000
205,810000
206,811000
207,812000
208,813000
209,814000
210,815000
211,816000
212,817000
213,818000
214,819000
215,820000
216,821000
217,822000
218,823000
219,824000
217,825000
218,826000
219,827000
219,828000
220,829000
221,830000
221,831000
222,832000
223,833000
224,834000
225,835000
224,836000
225,837000
225,838000
226,839000
227,840000
228,841000
229,842000
230,843000
231,844000
232,845000
233,846000
234,847000
235,848000
236,849000
237,850000
238,851000
239,852000
240,853000
235,854000
236,855000
237,856000
238,857000
239,858000
240,859000
240,860000
235,861000
234,862000
235,863000
236,864000
237,865000
238,866000
239,867000
240,868000
241,869000
242,870000
243,871000
244,872000
245,873000
246,874000
244,875000
245,876000
244,877000
245,878000
246,879000
247,880000
248,881000
249,882000
250,883000
251,884000
252,885000
253,886000
254,887000
255,888000
256,889000
257,890000
258,891000
259,892000
260,893000
261,894000
261,895000
262,896000
263,897000
264,898000
265,899000
266,900000
266,901000
267,902000
268,903000
269,904000
270,905000
271,906000
270,907000
270,908000
271,909000
272,910000
273,911000
274,912000
275,913000
275,914000
276,915000
275,916000
276,917000
277,918000
278,919000
279,920000
279,921000
280,922000
281,923000
282,924000
283,925000
284,926000
285,927000
285,928000
286,929000
287,930000
288,931000
288,932000
288,933000
279,934000
280,935000
281,936000
282,937000
280,938000
281,939000
282,940000
282,941000
283,942000
284,943000
284,944000
285,945000
286,946000
287,947000
288,948000
289,949000
289,950000
290,951000
291,952000
292,953000
293,954000
294,955000
295,956000
296,957000
297,958000
298,959000
299,960000
300,961000
301,962000
302,963000
303,964000
304,965000
305,966000
306,967000
307,968000
307,969000
307,970000
308,971000
308,972000
308,973000
308,974000
309,975000
310,976000
310,977000
311,978000
312,979000
313,980000
310,981000
311,982000
312,983000
313,984000
314,985000
315,986000
316,987000
317,988000
318,989000
319,990000
320,991000
317,992000
318,993000
319,994000
320,995000
321,996000
322,997000
323,998000
324,999000
325,1000000
325,1001000
326,1002000
327,1003000
328,1004000
328,1005000
328,1006000
329,1007000
330,1008000
331,1009000
332,1010000
333,1011000
334,1012000
335,1013000
336,1014000
337,1015000
338,1016000
339,1017000
340,1018000
339,1019000
340,1020000
341,1021000
342,1022000
283,1023000
284,1024000
285,1025000
286,1026000
287,1027000
288,1028000
289,1029000
290,1030000
291,1031000
292,1032000
293,1033000
294,1034000
295,1035000
286,1036000
287,1037000
288,1038000
287,1039000
288,1040000
281,1041000
281,1042000
282,1043000
282,1044000
283,1045000
284,1046000
285,1047000
286,1048000
284,1049000
285,1050000
286,1051000
287,1052000
288,1053000
289,1054000
290,1055000
291,1056000
283,1057000
284,1058000
284,1059000
285,1060000
286,1061000
287,1062000
288,1063000
289,1064000
290,1065000
289,1066000
290,1067000
291,1068000
292,1069000
293,1070000
294,1071000
295,1072000
296,1073000
297,1074000
298,1075000
299,1076000
300,1077000
301,1078000
302,1079000
303,1080000
304,1081000
302,1082000
303,1083000
303,1084000
303,1085000
282,1086000
283,1087000
282,1088000
283,1089000
284,1090000
285,1091000
286,1092000
287,1093000
288,1094000
289,1095000
290,1096000
291,1097000
292,1098000
293,1099000
294,1100000
218,1101000
219,1102000
220,1103000
221,1104000
222,1105000
223,1106000
224,1107000
224,1108000
225,1109000
226,1110000
225,1111000
226,1112000
222,1113000
223,1114000
224,1115000
225,1116000
226,1117000
225,1118000
226,1119000
227,1120000
228,1121000
229,1122000
227,1123000
228,1124000
228,1125000
229,1126000
230,1127000
219,1128000
220,1129000
221,1130000
222,1131000
223,1132000
224,1133000
224,1134000
225,1135000
226,1136000
227,1137000
228,1138000
229,1139000
230,1140000
231,1141000
232,1142000
233,1143000
234,1144000
235,1145000
234,1146000
235,1147000
232,1148000
233,1149000
234,1150000
235,1151000
236,1152000
236,1153000
236,1154000
237,1155000
238,1156000
239,1157000
240,1158000
241,1159000
242,1160000
243,1161000
244,1162000
245,1163000
246,1164000
247,1165000
248,1166000
249,1167000
250,1168000
251,1169000
251,1170000
251,1171000
251,1172000
252,1173000
253,1174000
253,1175000
253,1176000
254,1177000
255,1178000
256,1179000
256,1180000
256,1181000
257,1182000
258,1183000
259,1184000
260,1185000
261,1186000
258,1187000
259,1188000
260,1189000
261,1190000
262,1191000
263,1192000
264,1193000
265,1194000
266,1195000
267,1196000
268,1197000
269,1198000
257,1199000
257,1200000
258,1201000
258,1202000
259,1203000
260,1204000
261,1205000
262,1206000
262,1207000
263,1208000
264,1209000
265,1210000
266,1211000
266,1212000
265,1213000
266,1214000
